Date,Close,Open,High,Low,Volumn
2017-08-08,111000,110500,113500,110500,474.55K
2017-08-07,110500,111000,112500,108000,674.98K
2017-08-06,110500,110500,110500,110500,4.82K
2017-08-04,110500,113500,115500,110000,926.51K
2017-08-03,114500,116500,117000,112500,995.46K
2017-08-02,114500,113500,116500,110500,2.14M
2017-08-01,118000,121500,124500,117000,2.47M
2017-07-31,120000,113500,121000,112500,3.10M
2017-07-30,111000,111000,111000,111000,0.73K
2017-07-28,111000,112500,114000,109500,1.68M
2017-07-27,109500,107500,109500,106000,735.39K
2017-07-26,105500,108000,108500,104000,465.48K
2017-07-25,107500,109500,110000,107000,322.42K
2017-07-24,109000,108500,110500,107000,627.33K
2017-07-23,108000,108000,108000,108000,0.02K
2017-07-21,108000,105500,108000,105000,592.52K
2017-07-20,105000,106000,106500,105000,346.03K
2017-07-19,105000,105000,106000,103500,442.67K
2017-07-18,103500,101500,104500,101000,699.02K
2017-07-17,100500,99200,101000,99200,211.43K
2017-07-16,99000,99000,99000,99000,0.07K
2017-07-14,99000,100500,101500,99000,196.50K
2017-07-13,99900,99200,100500,98500,316.94K
2017-07-12,98500,98500,99900,97600,620.30K
2017-07-11,100500,102500,102500,99700,350.82K
2017-07-10,102000,102500,103500,101000,354.98K
2017-07-07,101600,103500,103700,100200,992.11K
2017-07-06,104100,103300,105900,103200,703.66K
2017-07-05,102500,98500,102600,98500,593.20K
2017-07-04,98300,99900,100500,98000,433.64K
2017-07-03,99400,102400,102700,99100,462.18K
2017-06-30,101500,100300,103300,100300,321.05K
2017-06-29,101500,102400,102700,100800,250.34K
2017-06-28,100800,102200,103000,100500,416.76K
2017-06-27,103800,100700,104400,100400,666.72K
2017-06-26,100200,101700,102100,99700,387.69K
2017-06-25,101500,101500,101500,101500,0.26K
2017-06-23,101500,97800,101500,97500,538.75K
2017-06-22,98000,99800,99900,97100,550.99K
2017-06-21,98800,100200,100300,98000,950.90K
2017-06-20,101500,104900,105000,101100,556.22K
2017-06-19,103800,102400,104500,102400,394.34K
2017-06-18,102900,102900,102900,102900,1.54K
2017-06-16,102900,105300,105400,102100,943.24K
2017-06-15,105500,106700,106900,104800,417.00K
2017-06-14,106400,108100,108400,105000,670.46K
2017-06-13,106900,106200,107500,105500,654.08K
2017-06-12,105000,107000,107800,103400,1.28M
2017-06-11,109800,109800,109800,109800,0.72K
2017-06-09,109800,108500,110000,107900,587.61K
2017-06-08,108500,108800,110100,106700,991.81K
2017-06-07,108000,105000,108300,104200,1.02M
2017-06-06,104500,104500,104500,104500,0.12K
2017-06-05,104500,101500,104600,101200,837.52K
2017-06-04,100800,100800,100800,100800,0.03K
2017-06-02,100800,99200,100900,99200,601.19K
2017-06-01,98800,99000,99400,98200,267.81K
2017-05-31,98800,98200,99400,98200,542.45K
2017-05-30,98100,99500,99700,98000,450.48K
2017-05-29,99200,100200,100200,99100,380.72K
2017-05-28,99700,99700,99700,99700,0.02K
